mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.27857;2.80890694539994;0.0003595631010496595
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.832349229604006;0.0003625639054792634
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.8289055600762367;0.0003621230875673626
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.27857;2.7939055766910315;0.0003576428029558412
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.830581217072904;0.0003623375853907967
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/487203/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.833432447165251;0.000362702566201389
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.381947;5.494187287054956;0.0014066019680120214
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.556325934827328;0.001422510479986515
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.550916621461511;0.0014211256071330032
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.381947;5.49497571028769;0.0014068038172779544
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.550986874848604;0.0014211435931512043
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/487203/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.546056417748332;0.0014198813153477553
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999887;13.941589979454875;0.007138550936740848
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;14.015235400758684;0.007176259805816018
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;14.126321678049862;0.007233139620097216
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999887;13.904251259751618;0.007119432288659302
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;14.10813419893384;0.007223827034784352
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/487203/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;14.020207663998008;0.007178805767536102
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.07449;28.308889145962894;0.02900500937086362
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_seq.h5;seq;21.07449;28.791412107646465;0.029499397651277116
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_seq.h5;seq;21.07449;28.57462045084685;0.029277275052097183
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.07449;28.35929974820465;0.029056659578078535
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_seq.h5;seq;21.07449;28.554614591412246;0.02925677724529943
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/487203/2048x2048_out_hybrid_2d_seq.h5;seq;21.07449;28.550152190960944;0.02925220511368949
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387014;57.42858853563666;0.11768153388450137
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_seq.h5;seq;20.387014;57.10691403131932;0.1170223648182773
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_seq.h5;seq;20.387014;57.14370676409453;0.11709775976248879
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387014;56.64540051482618;0.11607664039923397
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_seq.h5;seq;20.387014;57.18171985819936;0.11717565544712984
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmalek17/487203/4096x4096_out_hybrid_2d_seq.h5;seq;20.387014;57.18990477360785;0.11719242781477018
