mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.27857;2.793765027076006;0.00035762481145366177
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/612505/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.82399860676378;0.0003614949573430338
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/612505/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.8275992376729846;0.00036195586759766825
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.27857;2.79356234613806;0.0003575988666331362
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/612505/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.8284718208014965;0.0003620675653867763
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmalek17/612505/256x256_out_hybrid_2d_seq.h5;seq;43.27857;2.8309451527893543;0.0003623841721440546
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.381947;5.495044181123376;0.001406821346933788
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/612505/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.5449301563203335;0.0014195929739683393
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/612505/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.5474562887102365;0.0014202397052509566
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.381947;5.492981683462858;0.001406293313738571
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/612505/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.549454152584076;0.0014207511911377563
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmalek17/612505/512x512_out_hybrid_2d_seq.h5;seq;28.381947;5.551767496392131;0.0014213434450568692
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999887;13.946822317317128;0.0071412300651905415
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/612505/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;14.01142955943942;0.0071743110903427654
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/612505/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;13.97848944645375;0.007157444673043395
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999887;13.867274871096015;0.00710049916594778
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/612505/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;13.974095447920263;0.00715519480180249
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmalek17/612505/1024x1024_out_hybrid_2d_seq.h5;seq;22.999887;14.005642853677273;0.0071713481073616345
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.07449;28.275326943024993;0.028970621867853475
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/612505/2048x2048_out_hybrid_2d_seq.h5;seq;21.07449;28.516669160686433;0.02921789873021151
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmalek17/612505/2048x2048_out_hybrid_2d_seq.h5;seq;21.07449;28.644797507673502;0.029349177774255636
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.07449;28.244737332686782;0.028939280053982358
